rule_id,domain,severity,name,description,jitx_coverage_status,responsible_skill,introspection_api_needed,gap_notes
PWR_RES_001,Power,Major,Check DC resistance of supply traces,"High resistance in supply traces causes voltage drop under load, affecting circuit performance. Calculate and verify trace resistance meets requirements.",partial,jitx-substrate-modeler,board.trace_resistance(net),Calculate DC resistance of supply traces
COMP_CAP_001,Component,Major,Y5V capacitors lose 80% capacitance under bias,"Y5V dielectric capacitors can lose up to 80% of their capacitance at rated voltage and temperature extremes. Avoid for decoupling, filtering, and timing-critical applications.",uncovered-authorable,references/domains/component-selection.md,,Y5V DC bias loss - selection guidance
COMP_CAP_002,Component,Minor,Use Class-1 capacitors for precision circuits,"C0G/NP0 (Class-1) capacitors provide stable capacitance with voltage, temperature, and time. Required for oscillators, precision filters, and low-noise analog circuits.",uncovered-authorable,references/domains/component-selection.md,,C0G/NP0 for precision
COMP_CAP_003,Component,Minor,Check electrolytic leakage current,"Electrolytic capacitors have significant leakage current that varies with voltage, temperature, and age. Avoid for low-leakage applications like sample-and-hold circuits.",uncovered-authorable,references/domains/component-selection.md,,Electrolytic leakage incompatible with S/H
COMP_CAP_004,Component,Major,Verify capacitor maximum voltage rating,Capacitor voltage rating must exceed maximum applied voltage including transients. Derate by 50-80% of rated voltage for reliability and long life.,uncovered-authorable,references/domains/component-selection.md,,Cap voltage rating >=1.5-2x applied
COMP_CAP_005,Component,Major,Check electrolytic ripple current and temperature,"Electrolytic capacitor life is strongly affected by ripple current, ambient temperature, and applied voltage. Verify operating conditions are within limits.",evidence-required,references/domains/component-selection.md,,Electrolytic ripple/temp lifetime - needs datasheet field on Capacitor
COMP_CAP_006,Component,Minor,Verify ESR and ESL requirements,Some applications require specific ESR (Equivalent Series Resistance) or ESL (Equivalent Series Inductance) values. SMPS output capacitors and high-frequency decoupling are ESR/ESL critical.,uncovered-authorable,references/domains/component-selection.md,,ESR/ESL critical for SMPS output
COMP_RES_001,Component,Major,Thick-film 1/f noise in low-noise circuits,Thick-film resistors generate significant 1/f (flicker) noise that can dominate in low-noise analog circuits. Use thin-film or metal-film for noise-critical applications.,uncovered-authorable,references/domains/component-selection.md,,Thick-film 1/f noise
COMP_RES_002,Component,Major,Thick-film resistor nonlinearity and tempco,Thick-film resistors exhibit poor linearity and temperature coefficient that can cause distortion in precision analog circuits. Use thin-film for precision applications.,evidence-required,references/domains/component-selection.md,,Resistor networks for matched pairs - requires part-choice metadata
COMP_RES_003,Component,Major,Verify resistor power rating,"Resistor power dissipation must be less than rated power with adequate derating. Undersized resistors overheat, causing drift, degradation, and failure.",uncovered-authorable,references/domains/component-selection.md,,Resistor power derating 50%
COMP_RES_004,Component,Minor,Check resistor inductance for high frequency,All resistors have parasitic inductance that becomes significant at high frequencies. Wire-wound resistors are particularly inductive and unsuitable for RF applications.,uncovered-authorable,references/domains/component-selection.md,,Resistor parasitic L at >10MHz
COMP_IND_001,Component,Minor,Cored inductor tolerance variations,Inductors with ferrite or powdered iron cores can have large tolerance variations (±20% or more). Account for tolerance in filter and SMPS designs.,evidence-required,references/domains/component-selection.md,,Cored inductor tolerance ±20% - needs datasheet field on Inductor
COMP_IND_002,Component,Critical,Check inductor saturation current,"High currents can saturate the inductor core, causing dramatic loss of inductance. Saturation current rating must exceed peak operating current with margin.",uncovered-authorable,references/domains/component-selection.md,,Inductor Isat >=1.3x peak
COMP_IND_003,Component,Minor,Verify inductor self-resonant frequency,Every inductor has a self-resonant frequency (SRF) where parasitic capacitance resonates with inductance. Operating frequency must be well below SRF.,uncovered-authorable,references/domains/component-selection.md,,Inductor SRF rule of thumb >=10x
COMP_IND_004,Component,Minor,Inductor loss factor for high-Q circuits,"For resonators, filters, and oscillators, inductor Q factor (quality factor) significantly affects circuit performance. Check Q at operating frequency.",uncovered-authorable,references/domains/component-selection.md,,Inductor Q vs frequency
THM_DISS_001,Thermal,Major,Calculate component power dissipation,Calculate heat generated by each power-dissipating component. This is required for thermal design and selecting appropriate cooling solutions.,uncovered-authorable,references/domains/thermal-and-emc-workflow.md,,Estimate Tj = Ta + Pd·θja from component actual Pd; verify Tj <= Tj_max - 20°C margin (allowable Pd_max = (Tj_max - Ta) / θja)
THM_RISE_001,Thermal,Major,Verify temperature rise is acceptable,Calculate expected temperature rise for each power-dissipating component and verify it stays within operating limits including safety margin.,out-of-band,references/domains/thermal-and-emc-workflow.md,,Tj margin >=20°C - thermal sim
THM_HEAT_001,Thermal,Major,Add heatsink when temperature exceeds limit,"If calculated temperature rise exceeds limits, add heatsink, use larger package, or implement other thermal management to reduce junction temperature.",out-of-band,references/domains/mechanical.md,,Heatsink mechanical spec
THM_COOL_001,Thermal,Minor,Consider forced air cooling for high heat designs,"For designs with significant total power dissipation where passive cooling is insufficient, consider active cooling with fans or blowers.",out-of-band,references/domains/mechanical.md,,Forced-air CFM calc
THM_SPREAD_001,Thermal,Minor,Spread heat-dissipating components across PCB,"When not using heatsinks, distribute power-dissipating components across the PCB area to avoid localized hot spots and improve heat spreading.",future-design-review,phase-3b-audit,board.thermal_distribution(),Heat-dissipating components spread
MEC_OUTLINE_001,Mechanical,Major,Verify board outline and mounting holes,Board outline dimensions and mounting hole locations must match the enclosure and mechanical mounting requirements. Verify against mechanical drawings.,out-of-band,references/domains/mechanical.md,,Board outline vs enclosure - 3D fitment
MEC_HEATSINK_001,Mechanical,Major,Verify heatsink fitment,"Components requiring heatsinks must have adequate clearance for heatsink mounting. Verify heatsink footprint, height, and mounting hardware.",out-of-band,references/domains/mechanical.md,,Heatsink mechanical clearances
MEC_UI_001,Mechanical,Major,"Check button, display, and connector locations","User interface elements (buttons, LEDs, displays, connectors) must be positioned for accessibility through the enclosure. Verify alignment with cutouts and windows.",out-of-band,references/domains/mechanical.md,,Button/display/connector vs enclosure cutouts
MEC_HEIGHT_001,Mechanical,Major,Verify component height restrictions,All components must fit within the available height envelope of the enclosure. Check both top and bottom side component heights.,future-design-review,phase-3b-audit,board.component_height(component),Tall components away from edges/moving parts
PWR_DECPL_005,Power,Major,Decoupling capacitors need dedicated ground via,"Each decoupling capacitor should have its own dedicated via to the ground plane, placed close to the capacitor ground pad. Sharing vias increases inductance.",future-design-review,phase-3b-audit,board.ground_vias_near(pad),Dedicated GND via per cap - layout introspection
HS_CRIT_001,HighSpeed,Major,Reserve space for critical signal traces,"During component placement, reserve adequate routing channels for critical signals including RF, crystal oscillator, high-speed differential, and sensitive analog traces.",out-of-band,references/domains/high-speed-si.md,,Reserve channels near clock sources - layout-planning practice
HS_SHORT_001,HighSpeed,Minor,Keep component connections short,"Place components to minimize critical trace lengths. Short traces reduce parasitic inductance, capacitance, and susceptibility to noise pickup.",future-design-review,phase-3b-audit,board.trace_length(net),Driver-receiver <50mm
EMC_AGG_001,EMC,Major,Separate aggressors from sensitive circuits,"Keep noise-generating circuits (switching power supplies, digital clocks, motor drivers) physically separated from noise-sensitive circuits (analog inputs, RF, oscillators).",future-design-review,phase-3b-audit,"board.distance(component_set, component_set)",Noise sources >=50mm from sensitive
HS_CROSS_001,HighSpeed,Minor,Minimize crossing signal traces,Logical component placement minimizes signal crossings and reduces the need for vias and layer changes. Plan placement to align signal flow.,future-design-review,phase-3b-audit,board.trace_crossings(),Minimize trace crossings
DFM_LIB_001,DFT+Mechanical,Critical,Print 1:1 scale and verify footprints,Print PCB layout at 1:1 scale and physically verify component footprints before manufacturing. Place actual components on printout to confirm fit.,covered,jitx-component-modeler,,Footprint vs datasheet 1:1 - datasheet authority
DFM_LIB_002,DFT,Critical,Verify pin and pad numbers against datasheet,"Footprint pin numbering must match the component datasheet exactly. Pin 1 location, numbering direction, and thermal pad connections must be verified.",covered,jitx-component-modeler,,Symbol pinouts match datasheet
DFM_LIB_003,DFT,Critical,Check connector pinout orientation,Connector pinouts can easily be mirrored or rotated incorrectly. Verify orientation matches mating connector and cable expectations.,covered,jitx-component-modeler,,Connector orientations / keying
HS_STACK_001,HighSpeed,Critical,Each signal layer needs ground reference plane,Every signal routing layer must have an adjacent ground plane layer for controlled impedance and proper return current paths. Signals without reference planes have undefined impedance.,covered,jitx-substrate-modeler,,Adjacent ground reference plane on every signal layer
HS_STACK_002,HighSpeed,Major,RF and high-DR circuits need 4+ layers,Designs with RF circuits or high dynamic range analog require minimum 4-layer stackup with both inner layers as ground planes for proper shielding and signal integrity.,covered,jitx-substrate-modeler,,"RF/>500Mbps: min 4 layers, 6 preferred"
DFM_VIA_003,DFT,Advisory,Via size greater than 0.3mm keeps cost low,Via drill sizes below 0.3mm typically increase fabrication cost. Use standard via sizes unless signal integrity or density requires smaller vias.,covered,jitx-substrate-modeler,,Via diameter >=0.25mm - Via definition
DFM_TRACE_004,DFT,Advisory,Trace and clearance greater than 0.15mm keeps cost low,Trace widths and clearances below 0.15mm (6 mil) increase fabrication cost and reduce yield. Use standard design rules unless routing density requires tighter tolerances.,covered,jitx-substrate-modeler,,Cost-effective min 0.15mm - fab constraints
EMC_PLANE_002,EMC,Critical,Minimize holes and slots in ground planes,"Holes and slots in ground planes disrupt return current paths and create EMI. Scattered vias are acceptable, but avoid creating continuous slots or walls of vias.",future-design-review,phase-3b-audit,board.plane_splits(layer),Minimize plane splits; stitching across
HS_SENS_001,HighSpeed+Analog,Major,Route sensitive signals with care,"Sensitive signals (sensors, microphones, RF, crystal oscillators, reset lines) require careful routing with adequate clearance from noise sources and proper shielding.",future-design-review,phase-3b-audit,"board.guard_trace(net), board.adjacent_ground(net)",Guard traces or dedicated GND plane for sensitive signals
HS_CLK_002,HighSpeed+EMC,Major,Keep digital clock traces short to reduce EMI,Digital clock signals are primary EMI sources. Keep clock traces as short as possible to minimize radiation and crosstalk to other circuits.,future-design-review,phase-3b-audit,board.trace_length(net),Short clock traces for EMI
EMC_VIA_003,EMC,Critical,Each ground connection needs its own via,Ground connections for high-frequency circuits must have dedicated vias. Sharing ground vias between components increases inductance and degrades performance.,uncovered-authorable,references/domains/emc-esd.md,,Own via per ground connection - rule expressible
DFT_TP_003,DFT,Major,"Test points for voltages, currents, and signals","Add test points for all power rails, key signals, and current monitoring points to enable testing, production validation, and debugging.",uncovered-authorable,references/domains/dft.md,,Named test points for key signals
DFT_GND_003,DFT,Minor,Ground measurement point for probing,Provide a convenient ground attachment point near test areas for oscilloscope ground clip or probe ground connection.,future-design-review,phase-3b-audit,board.probe_access(net),Dedicated GND measurement pad
DFT_DRC_002,DFT,Critical,Run layout DRC before release,Design Rule Check must be run on the layout before releasing for fabrication. All errors must be resolved or explicitly waived with documented justification.,future-design-review,phase-3b-audit,board.drc_violations(),Layout DRC pass
DFT_CONN_001,DFT,Critical,Run connectivity check before release,Verify all schematic nets are properly connected in the layout with no unrouted connections or missing nets. This is typically part of DRC but critical enough to verify separately.,covered,jitx,,Netlist vs layout connectivity - JITX builds layout from same model. JITX note: the netlist is the code; there is no separate schematic to reconcile against the layout
DFM_FID_002,DFT,Major,Place fiducial marks for assembly,Add fiducial marks for automated pick-and-place alignment. Minimum 3 fiducials in an asymmetric L-pattern for proper board orientation detection.,out-of-band,references/domains/dfm.md,,Fiducial first-article photo
DFM_LABEL_001,DFT,Minor,Add board identification text and version,"Include board name, revision number, date, and company name in silkscreen for identification and traceability throughout the product lifecycle.",out-of-band,references/domains/dfm.md,,Board ID silkscreen text
DFM_LAYER_001,DFT,Minor,Add layer markers for identification,Add unique markers on each copper layer to verify correct layer stackup during manufacturing and to identify layers during debugging.,covered,jitx-substrate-modeler,,Stackup layer markers
DFM_BOM_001,DFT,Minor,Add manufacturer order codes to all parts,BOM must include manufacturer part numbers and/or distributor order codes for all components to enable accurate procurement.,partial,jitx/references/parts-sourcing.md,,"BOM with distributor PNs - sourcing doc exists, not enforced"
DFM_VIA_004,DFT,Minor,Avoid smallest via size everywhere,Using the smallest available via size throughout the design reduces reliability. Reserve small vias for high-density areas and use larger vias where space permits.,covered,jitx-substrate-modeler,,Avoid smallest via everywhere
DFT_TP_004,DFT,Advisory,Name test points for identification,Label test points with their signal name or net name in silkscreen to save time during measurements and debugging.,out-of-band,references/domains/dft.md,,TP silkscreen labels - silkscreen content
DFM_PASTE_001,DFT,Major,Check paste layer for correct pads,"Verify solder paste stencil openings are correct for each component. Some pads should not have paste (thermal vias, test points), while others require modified apertures.",future-design-review,phase-3b-audit,board.paste_coverage(pad),Paste layer pad coverage
DFM_COPPER_001,DFT,Minor,Check copper balance for PCB reliability,Significant copper imbalance between PCB layers can cause warping and delamination during reflow. Balance copper distribution across layers.,future-design-review,phase-3b-audit,board.copper_balance(layer),Copper balance for warp prevention
DFM_COURT_001,DFT,Major,Check courtyard spacing for assembly,Component courtyards (assembly outlines) must not overlap to ensure pick-and-place machine access and prevent component interference.,future-design-review,phase-3b-audit,board.courtyard_overlap(),Component courtyard spacing
DFM_TRACE_005,DFT+Power,Major,Verify trace width for current capacity,"Power and signal traces must be adequately sized for their current load. Undersized traces overheat, causing damage or fire hazard.",partial,jitx-substrate-modeler,board.trace_current_capacity(net),Trace width sized for voltage drop I·R <=20 mV at full load current; derate IPC capacity to 50%
DFT_BUILD_001,DFT,Advisory,Assemble prototype PCBs before production,Build and test prototype PCBs before committing to production quantities. Prototype assembly reveals design issues that cannot be found in review.,out-of-band,,,Assemble prototype before production - process
DFT_MEAS_001,DFT,Major,Measure all parameters during validation,"Measure and verify all design parameters meet specifications during prototype testing. This includes power consumption, signal timing, analog performance, and thermal behavior.",out-of-band,,,Measure parameters during validation - process
DFT_PROD_001,DFT,Major,Validate design before full production,Confirm design meets all requirements through comprehensive testing before committing to production volume. Include environmental and reliability testing as appropriate.,out-of-band,,,Complete validation before production - process
AERO_VIB_001,Aerospace+Mechanical,Critical,High-mass components in aerospace vibration environments need mechanical retention beyond solder fillet,"Components with mass above approximately 3 g (relays, radial electrolytics, large inductors, modules, crystals on tall lead frames) cannot be retained by their PCB lead solder fillets alone in aerobatic, rotorcraft, or other high-vibration aerospace environments. Sustained loading at +6/-3 G with 10-500 Hz random vibration per IEC 60068-2-6 will fatigue-crack the leads at the solder meniscus within hundreds of hours, leading to lead fracture, intermittent contact, and foreign-object debris. Retention can be RTV staking (most common), epoxy potting, mechanical clamps, or straps depending on component mass and serviceability. Tooling note: component mass and vibration profile are not currently emitted by tools/kicad-export.py and must be sourced from datasheets or supplied as user metadata; this rule is a checklist-for-human item rather than auto-detected. Automotive, rail, and industrial vibration profiles are out of scope here -- the aerospace_application gate prevents this rule from labeling those domains.",evidence-required,references/domains/safety-critical.md,board.staked_components(),Two-stage: needs component-mass evidence (BOM/datasheet field) for the >3g threshold AND board.staked_components() introspection for the staking-present check; mass data is the binding gate at authoring time
AERO_SLD_001,Aerospace+Component,Critical,"Class 3 aerospace assemblies must use eutectic Sn63/Pb37 solder, not SAC305 lead-free","Lead-free SAC305 solder fails two requirements common to Class 3 aerospace and military assemblies: pure-tin surfaces grow conductive whiskers that bridge fine-pitch features over time (especially at low humidity / high mechanical stress), and SAC305 joints are significantly more brittle than Sn63/Pb37 under deep thermal cycling and at temperatures below -40 °C. IPC J-STD-001 Class 3 (and the Class 3 / Pb-bearing exemption) explicitly retains leaded solder for high-reliability applications. Component lead finishes should be matte tin per JESD201 Class 1A or hot-air-leveled tin-lead, not pure tin reflow. The Vishay 'E3' / 'M3' suffix and equivalent vendor designators meet the JESD201 whisker-test requirement. Tooling note: solder alloy, IPC class, and lead-finish whisker qualification are not extractable from tools/kicad-export.py -- these conditions must be sourced from the BOM, fab notes, and component datasheets, and are checklist-for-human items rather than auto-detected.",evidence-required,references/domains/safety-critical.md,,Sn63/Pb37 for Class 3 - requires BOM/fab-note evidence; not circuit-graph checkable
AERO_RPP_001,Aerospace+Power,Critical,Aircraft DC-bus boards must have active reverse-polarity protection,"Aircraft 12 V or 28 V buses are field-serviced and field-jumped; an installer connecting battery in reverse, or jumping from another aircraft with opposite polarity, is a design-level certainty over the life of the board. Without active reverse-polarity protection, the first such event destroys downstream electronics. A bare Schottky diode in series works but wastes ~0.4 V (~3 W at 8 A continuous, plus a heat sink), and its open-failure mode disables the load. The preferred topology is an ideal-diode controller (TI LM74700-Q1, ADI LTC4376, MAX17612, etc.) driving an external low-Rds(on) N-MOSFET — the FET's body diode handles the moment of polarity reversal while the controller turns the FET fully on for the normal-polarity steady state, dissipating only I²·Rds(on) (typically <0.1 W).",uncovered-authorable,references/domains/safety-critical.md,,Active reverse-polarity controller for aircraft DC
AERO_TVS_001,Aerospace+EMC,Critical,Active rectifier ICs on aircraft DC bus need ISO 7637-2 / DO-160 input TVS clamping,"Aircraft electrical systems generate input transients that exceed any sane IC absolute-maximum rating: alternator field-decay (load dump) on a 28 V bus produces 80-100 V pulses lasting hundreds of milliseconds with hundreds of millijoules of energy; lightning-induced transients per DO-160 §16-22 can be larger still. An unprotected ideal-diode controller's ANODE pin (e.g. LM74700-Q1 absolute-max 80 V) or its EN pin will breakdown and destroy the IC and likely the FET it drives. ISO 7637-2 pulse 5b is the canonical automotive equivalent test the controller datasheets reference; aerospace boards installed in piston-engine aircraft with belt-driven alternators see the same transient family. The mitigation is a bidirectional TVS placed within ~50 mm of the controller's ANODE pin, sized so its clamp voltage stays below the IC absolute-max even at peak load-dump current, and stitched to the GND plane with multiple low-inductance vias.",uncovered-authorable,references/domains/safety-critical.md,,Bidirectional TVS for aircraft transients
AERO_TERM_001,Aerospace+DFT,Major,Field-serviceable terminals must be masked during conformal coating,"Conformal coatings (HumiSeal 1A33A, MG Chemicals 422C, etc.) are insulating polymers that prevent any subsequent solder or screw-clamp joint from making electrical contact. Aerospace boards routinely combine blanket-coated assemblies with field-serviceable terminals (turret posts, screw blocks, battery clips, harness connectors) that must remain bare. Failing to mask these terminals during the coat step produces a board that physically cannot be wired in the field — the ring-lug or screw clamp seats on insulating polymer instead of brass. Re-work requires localized solvent stripping or hot-air burn-through, which often damages adjacent passives. The mask must also cover NPTH mounting holes whose copper inner annulus contacts the chassis screw head metal-to-metal. Tooling note: conformal-coating spec, masking documentation, and identification of user-serviceable terminals are process metadata not currently extractable from tools/kicad-export.py; these conditions must be supplied from the fab work order and assembly drawing, and are checklist-for-human items rather than auto-detected.",out-of-band,references/domains/safety-critical.md,,Conformal-coat masking - process
AERO_GND_001,Aerospace+EMC,Major,Aircraft DC boards: single-point chassis ground; NPTH mount holes need copper keepout on all layers,"Aircraft DC systems are not earth-referenced like terrestrial AC equipment — chassis ground is a return path for the airframe DC negative bus only, and is intentionally separated from PCB signal ground except at one designated bonding point (typically the GND turret terminal). When PCB GND is also connected to the chassis through unkeepout copper around mounting holes, the mount screws become parallel ground returns. Each screw is then a low-quality intermittent contact (vibration loosens it, corrosion increases its impedance) carrying portions of the digital and motor return currents. The result is unpredictable ground potential differences across the board, EMI radiated from the loops formed by the multiple paths, and accelerated screw corrosion (galvanic action between the brass screw and the tin-plated PCB copper). The fix is a copper keepout zone around every NPTH mounting hole on every layer, sized larger than the screw head + lockwasher OD, so the chassis screw hardware never contacts board copper. This rule is gated on aerospace_application -- terrestrial AC-grounded equipment (servers, industrial PLCs, automotive ECUs) intentionally bonds chassis to signal GND through mount holes for ESD return and is out of scope. Tooling note: aerospace context, chassis-mount style, and copper-keepout geometry around NPTH holes are not currently emitted by tools/kicad-export.py; these conditions are supplied as user metadata or visually inspected from the layout.",future-design-review,phase-3b-audit,board.copper_keepout(net),Chassis-GND single-point: 4mm copper keepout around mount holes
